,candidates,distr,num_of_candidate,num_sent,num_token,replaced,result,source
10,"['<UNK>' 'the' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on'
 'with' 'as' 'at' 'by' '(' '--' 'but' 'this' 'more' 'or' 'about' ':' 'up'
 'one' 'out' 'two' '-' 'all' ""'"" 'other' 'if' 'so' 'three' ';' 'off'
 'down' 'even' 'including' 'used' 'each' 'online' 'twice']",[0.         0.         0.02219878 ... 0.         0.         0.        ],45,0,10,True,two,","
11,,,0,0,11,False,not,not
12,"['the' ',' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'for' 'on' 'with' 'as' 'at'
 'it' 'by' 'from' 'have' 'an' 'not' 'about' 'up' 'one' 'than' 'out' 'two'
 'all' 'over' 'other' 'some' 'them' 'only' 'like' 'made' 'any' 'off'
 'even' 'much' 'your' 'good' 'used' 'least' 'less' 'every' 'taken' 'seen'
 'given' 'saying' 'nearly' 'almost' 'using' 'done' 'doing' 'someone'
 'quite' 'twice' 'paying' 'exactly' 'merely']",[0. 0. 0. ... 0. 0. 0.],59,0,12,True,merely,just
13,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'for' 'on'
 'with' 'as' 'at' 'by' 'from' 'not' 'more' 'about' 'up' 'one' 'out' 'two'
 'people' 'all' 'over' 'other' 'just' 'before' 'most' 'three' 'many'
 'another' 'good' 'used' 'every' 'small' 'something' 'doing' 'personal'
 'slightly']",[0.         0.         0.02324699 ... 0.         0.         0.        ],43,0,13,True,on,once
14,,,0,0,14,False,but,but
15,,,0,0,15,False,an,an
16,"['<UNK>' 'a' '""' 'one' 'two' 'all' 'first' 'most' 'each' 'quarter' 'half'
 'times' 'increase' 'amount' 'twice' 'equivalent' 'excess']",[0.         0.         0.05880563 ... 0.         0.         0.        ],17,0,16,True,most,average
17,,,0,0,17,False,of,of
18,"['at' 'more' 'one' 'some' 'million' 'three' 'many' 'four' '10' 'five' '1'
 'few' 'six' '20' '30' 'several' '2' 'half' '12' '11' '15' '3' '5' '4'
 'seven' '50' '100' 'eight' '25' '18' '14' '16' '7' '13' '8' '6' '40' '9'
 '17' 'nine' '24' '19' '22' '21' '60' '23' '28' '500' '200' '70' '35' '80'
 '1,000' '45' '90' '300' '32' '33' '100,000' '75' '10,000' 'ten' '2,000'
 '1.5' '5,000' '3,000' '250' '50,000' '2.5' '1.2' '250,000' '1.3' '3.5'
 '1.4' '1.6' '1.7' '4.5' '2.4' '2.7' '2.6' '3.6' 'twenty' 'two-and-a-half']",[0. 0. 0. ... 0. 0. 0.],83,0,18,True,few,two
19,,,0,0,19,False,times,times
20,,,0,0,20,False,each,each
21,,,0,0,21,False,.,.
22,"['<UNK>' ',' '""' 'that' 'he' 'I' '--' 'We' 'They' 'You' 'Some' 'Americans'
 'People']",[0.        0.        0.0768087 ... 0.        0.        0.       ],13,1,0,True,They,i
23,,,0,1,1,False,really,really
24,,,0,1,2,False,do,do
25,"['<UNK>' ',' 'and' '""' 'but' ""'t"" 'you' 'all' 'just' 'now' 'do' 'even'
 'still' 'really' 'always' 'actually' 'quite' 't']",[0.         0.         0.05554684 ... 0.         0.         0.        ],18,1,3,True,still,not
26,,,0,1,4,False,understand,understand
27,,,0,1,5,False,your,your
28,"['<UNK>' 'the' ',' '.' 'and' '""' 'that' 'is' 'this' 'more' 'or' 'you'
 'people' 'first' ""'"" 'other' 'time' 'government' 'world' 'company'
 'country' 'way' 'work' 'state' 'money' 'own' 'report' 'children'
 'business' 'use' 'family' 'need' '...' 'right' 'health' 'life' 'points'
 'case' 'best' 'system' 'campaign' 'statement' 'saying' 'side' 'issue'
 'media' 'line' 'problems' 'problem' 'history' 'name' 'level' 'issues'
 'needs' 'book' 'experience' 'question' 'list' 'idea' 'value' 'friends'
 'hand' 'questions' 'rules' 'concerns' 'comment' 'terms' 'love'
 'situation' 'reason' 'sense' 'view' 'approach' 'message' 'friend' 'words'
 'concern' 'true' 'choice' 'mind' 'kids' 'taxes' 'reasons' 'thinking'
 'advice' 'options' 'reading' 'interests' 'style' 'values' 'behavior'
 'facts' 'choices' 'mouth']",[0.         0.         0.01072514 ... 0.         0.         0.        ],94,1,6,True,hand,point
29,,,0,1,7,False,.,.
30,"[',' '""']",[0. 0. 0. ... 0. 0. 0.],2,1,8,True,",",It
31,,,0,1,9,False,seems,seems
32,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'in' '""' 'for' 'as' 'it' 'not' 'but'
 'more' 'about' 'you' 'when' 'people' 'there' 'if' 'so' 'what' 'like'
 'because' 'now' 'how' 'much' 'well' '...' 'here' 'likely' 'why'
 'possible' 'sure']",[0.         0.         0.02940183 ... 0.         0.         0.        ],34,1,10,True,for,that
33,,,0,1,11,False,you,you
34,,,0,1,12,False,are,are
35,,,0,1,13,False,mixing,mixing
36,,,0,1,14,False,apples,apples
37,,,0,1,15,False,and,and
38,['<UNK>' 'the'],[0.         0.         0.50095572 ... 0.         0.         0.        ],2,1,16,True,<UNK>,oranges
39,"['<UNK>' 'to' 'of' 'and' 'in' '""' 'for' 'at' 'by' 'from' '(' 'or' 'after'
 'up' 'if' 'just' 'before' 'above']",[0.         0.         0.05545153 ... 0.         0.         0.        ],18,1,17,True,from,.
40,"['<UNK>' 'the' ',' ""'s"" 'that' 'Obama' 'And' 'For' 'Take']",[0.         0.         0.11121451 ... 0.         0.         0.        ],9,2,0,True,Obama,shut
41,,,0,2,1,False,the,the
42,"['<UNK>' 'the' ',' 'and' '""' 'two' ""'"" 'other' 'back' 'way' 'end' 'show'
 'right' 'top' 'line' 'open' 'fire' 'book' 'stock' 'ground' 'eyes'
 'lights']",[0.         0.         0.04560827 ... 0.         0.         0.        ],22,2,2,True,two,fuck
43,,,0,2,3,False,up,up
44,,,0,2,4,False,.,.
45,"['<UNK>' ',' '""' ')' 'I' '--' '-' '...' '!']",[0.         0.         0.11112126 ... 0.         0.         0.        ],9,2,5,True,",",you
46,,,0,2,6,False,and,and
47,,,0,2,7,False,the,the
48,"['<UNK>' 'the' ',' '""' 'more' 'one' 'two' 'last' 'first' 'other' 'only'
 'most' 'three' 'many' 'group' 'good' 'few' 'best' 'couple']",[0.         0.         0.05263978 ... 0.         0.         0.        ],19,2,8,True,good,rest
49,,,0,2,9,False,of,of
50,,,0,2,10,False,your,your
51,,,0,2,11,False,faggot,faggot
52,,,0,2,12,False,friends,friends
53,,,0,2,13,False,should,should
54,,,0,2,14,False,be,be
55,,,0,2,15,False,burned,burned
56,,,0,2,16,False,at,at
57,,,0,2,17,False,the,the
58,,,0,2,18,False,stake,stake
59,,,0,3,0,False,That,That
60,,,0,3,1,False,you,you
61,,,0,3,2,False,are,are
62,,,0,3,3,False,an,an
63,"['<UNK>' 'the' ',' '""' ""'"" 'Obama' 'American' 'area' 'industry' 'official'
 'issue' 'executive' 'officer' 'example' 'owner' 'individual'
 'organization' 'agent' 'actor' 'author' 'expert' 'artist' 'adviser' 'MP'
 'employee' 'actress' 'adult' 'investor' 'economist' 'activist' 'employer'
 'advocate' 'architect' 'icon' 'athlete' 'advisor' 'entrepreneur'
 'accountant' 'organizer' 'educator']",[0.        0.        0.0250723 ... 0.        0.        0.       ],40,3,4,True,official,idiot
64,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' ""'s"" 'that' 'for' 'with'
 'he' 'I' '--' 'but' 'this' 'or' ':' 'also' 'you' '-' '?' 'only' 'now'
 'Obama' 'says' 'still' 'man' '...' '!' 'really']",[0.         0.         0.03021554 ... 0.         0.         0.        ],33,3,5,True,really,who
65,"['<UNK>' ',' 'to' 'and' 'in' '""' ""'s"" 'that' 'is' 'said' 'have' 'has'
 'are' 'not' 'will' 'you' 'so' 'like' 'do' 'says' 'should' 'think' 'need'
 'does' 'believe' 'needs' 'makes' 'means' 'offers' 'believes' 'knows'
 'represents' 'uses' 'supports' 'enjoys' 'encourages' 'favors' 'teaches'
 'treats' 'promotes']",[0.         0.         0.02496684 ... 0.         0.         0.        ],40,3,6,True,knows,understands
66,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'is' 'as' 'not'
 '--' 'this' 'more' 'or' 'about' ':' 'all' 'no' 'only' 'just' 'any' 'your'
 'public' 'both' '...' 'less']",[0.         0.         0.03450046 ... 0.         0.         0.        ],29,3,7,True,about,neither
67,,,0,3,8,False,taxation,taxation
68,"[',' 'of' 'and' 'in' 'for' 'as' 'at' 'or']",[0. 0. 0. ... 0. 0. 0.],8,3,9,True,for,nor
69,,,0,3,10,False,women,women
70,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'in' '""' ""'s"" 'for' 'on' 'by' '(' 'or'
 ':' 'people' '-' ""'"" '/' 'health' 'living']",[0.         0.         0.04754288 ... 0.         0.         0.        ],21,3,11,True,(,is
71,,,0,3,12,False,health,health
72,"['<UNK>' 'to' 'of' 'and' 'in' '""' ""'s"" 'for' 'at' 'by' '(' 'or']",[0.         0.         0.08344957 ... 0.         0.         0.        ],12,3,13,True,"""",.
73,['How' 'Who'],[0. 0. 0. ... 0. 0. 0.],2,4,0,True,How,What
74,,,0,4,1,False,on,on
75,"['""' 'earth' 'hell']",[0. 0. 0. ... 0. 0. 0.],3,4,2,True,hell,Earth
76,"[',' 'of' ""'s"" 'was' 'it' 'be' 'are' 'not' 'been' 'you' 'like' 'do' 'says'
 'think' 'does' 'really' 'Is' 'exactly']",[0. 0. 0. ... 0. 0. 0.],18,4,3,True,are,is
77,,,0,4,4,False,that,that
78,,,0,4,5,False,about,about
79,"['<UNK>' ',' '.' '""' '(' '--' ':' '-' ""'"" '...']",[0.         0.         0.09987065 ... 0.         0.         0.        ],10,4,6,True,',?
80,,,0,4,7,False,Is,Is
81,,,0,4,8,False,it,it
82,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on'
 'is' 'it' 'but' 'this' 'more' 'or' 'up' 'one' 'also' 'out' 'her' 'you'
 'all' ""'"" 'other' 'there' '?' 'time' 'some' 'so' 'just' 'him' 'like'
 'now' 'Obama' 'where' 'any' 'how' 'much' 'me' 'China' '...' 'life'
 'likely' 'America' 'really' 'something' 'done' 'evidence' 'doing'
 'nothing' 'anything' 'someone' 'anyone' 'actually' 'politics' 'exactly'
 'anybody']",[0.        0.        0.0161373 ... 0.        0.        0.       ],62,4,9,True,a,what
83,"['<UNK>' ',' 'and' '""' ""'s"" 'was' 'it' 'are' 'they' 'you' 'all' 'could'
 'might' 'really' 'things']",[0.         0.         0.06657016 ... 0.         0.         0.        ],15,4,10,True,really,is
84,"['<UNK>' ',' 'to' 'of' 'and' '""' 'on' 'is' 'as' 'it' 'not' 'been' 'more'
 'or' 'about' 'up' 'one' 'out' 'you' ""'"" 'only' 'just' 'like' 'set' 'good'
 'used' 'expected' '...' 'best' 'better' 'likely' 'really' 'working'
 'trying' 'important' 'possible' 'thought' 'looking' 'done' 'needed'
 'doing' 'wanted' 'sure' 'probably' 'certain' 'mean' 'helping' 'necessary'
 'meant' 'threatened' 'intended' 'supposed' 'nice' 'threatening' 'useful']",[0.         0.         0.01818358 ... 0.         0.         0.        ],55,4,11,True,just,going
85,,,0,4,12,False,to,to
86,,,0,4,13,False,get,get
87,,,0,4,14,False,him,him
88,"['<UNK>' ',' '.' 'and' 'in' '""' ""'s"" 'that' 'for' 'is' 'it' '(' '--'
 'this' 'more' 'up' 'you' '-' ""'"" '?' 'so' 'do' '...' '!']",[0.         0.         0.04157354 ... 0.         0.         0.        ],24,4,15,True,'s,fired
89,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' 'is' 'it' 'by' '(' '--'
 'but' 'this' 'or' ':' 'you' 'when' '-' '?' 'if' 'just' 'now' ';' '...'
 '..']",[0.         0.         0.03562116 ... 0.         0.         0.        ],28,4,16,True,this,eventually
90,,,0,4,17,False,?,?
91,,,0,5,0,False,This,This
92,"['<UNK>' ',' 'to' 'of' 'and' 'in' '""' ""'s"" 'that' 'on' 'was' 'said' 'from'
 'has' 'are' 'had' '--' 'also' 'set' 'place' 'change' 'question' 'remains'
 'included' 'followed' 'includes' 'practice' 'provides' 'requires'
 'follows' 'involves' 'reflects' 'applies']",[0.         0.         0.03027489 ... 0.         0.         0.        ],33,5,1,True,of,is
93,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'in' '""' 'that' 'The' 'his' 'an'
 'their' 'this' 'its' 'one' 'her' 'new' 'some' 'no' 'only' 'our' 'very'
 'another' 'different' 'clear' 'important' 'simple']",[0.         0.         0.03549311 ... 0.         0.         0.        ],28,5,2,True,this,a
94,"['<UNK>' ',' '""' 'one' 'world' 'way' 'work' 'state' 'part' 'set' 'right'
 'place' 'case' 'system' 'power' 'change' 'law' 'point' 'statement'
 'record' 'decision' 'side' 'issue' 'lot' 'line' 'policy' 'study'
 'problem' 'period' 'history' 'role' 'bill' 'process' 'goal' 'book'
 'question' 'position' 'kind' 'field' 'matter' 'test' 'bit' 'term' 'sense'
 'view' 'review' 'condition' 'challenge' 'product' 'source' 'paper' 'rule'
 'practice' 'measure' 'subject' 'model' 'word' 'culture' 'sort' 'piece'
 'brand' 'standard' 'type' 'discussion' 'combination' 'vision' 'tradition'
 'concept' 'topic']",[0.         0.         0.01448891 ... 0.         0.         0.        ],69,5,3,True,study,doctrine
95,,,0,5,4,False,of,of
96,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'The' 'his' 'an'
 'their' 'this' 'its' 'one' 'her' 'last' 'first' ""'"" 'new' 'some' 'no'
 'only' 'government' 'U.S.' 'any' 'such' 'state' 'public' 'American'
 'another' 'military' 'political' 'British' 'law' 'national'
 'international' 'European' 'federal' 'different' 'clear' 'policy' 'old'
 'general' 'strong' 'legal' 'medical' 'social' 'personal' 'common'
 'Western' 'limited' 'Islamic' 'conservative' 'religious' 'modern'
 'simple' 'science' 'Christian' 'basic' 'historic' 'cultural' 'liberal'
 'parliamentary' 'broad' 'scientific' 'historical' 'ancient' 'moral'
 'democratic' 'narrow' 'fundamental' 'principle' 'strict' 'intellectual'
 'universal' 'ethical' 'ideological' 'biblical']",[0.         0.         0.01238899 ... 0.         0.         0.        ],81,5,5,True,The,constitutional
97,,,0,5,6,False,interpretation,interpretation
98,,,0,5,7,False,that,that
99,,,0,5,8,False,says,says
100,,,0,5,9,False,that,that
101,,,0,5,10,False,a,a
102,"['<UNK>' ',' '""' 'one' ""'"" 'company' 'life' 'case' 'system' 'deal'
 'campaign' 'change' 'plan' 'law' 'statement' 'decision' 'call' 'line'
 'policy' 'name' 'process' 'result' 'book' 'question' 'list' 'form'
 'search' 'claim' 'speech' 'product' 'choice' 'measure' 'written'
 'movement' 'word' 'piece' 'document' 'gift' 'declaration']",[0.         0.         0.02566285 ... 0.         0.         0.        ],39,5,11,True,policy,constitution
103,"['the' ',' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'for' 'on' 'was' 'as' 'from'
 'are' 'not' '--' 'but' 'or' ':' 'also' 'so' 'only' 'just' 'being' 'even'
 'called' 'always' 'means' 'remains' 'simply' 'usually' 'clearly' 'merely'
 'solely' 'explicitly']",[0. 0. 0. ... 0. 0. 0.],36,5,12,True,even,is
104,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'not' '(' 'one'
 'also' 'out' 'first' ""'"" 'new' 'only' 'now' 'made' 'well' 'good' 'used'
 'right' 'best' 'likely' 'law' 'enough' 'often' 'free' 'different' 'clear'
 'important' 'possible' 'available' 'needed' 'legal' 'wrong' 'true'
 'subject' 'written' 'illegal' 'limited' 'necessary' 'effective' 'clearly'
 'simple' 'fair' 'easily' 'appropriate' 'essential' 'reasonable'
 'relevant' 'defined' 'voluntary' 'legitimate' 'acceptable' 'Constitution'
 'unnecessary' 'valid' 'flawed' 'vague' 'interpreted' 'incomplete'
 'meaningless' 'ambiguous']",[0.        0.        0.0147022 ... 0.        0.        0.       ],68,5,13,True,and,organic
105,,,0,5,14,False,and,and
106,,,0,5,15,False,must,must
107,,,0,5,16,False,be,be
108,"['<UNK>' 'the' ',' '.' 'to' 'and' 'a' 'in' '""' 'that' 'for' 'on' 'with'
 'said' 'as' 'by' 'not' 'more' 'about' 'up' 'one' 'all' ""'"" 'so' 'only'
 'made' 'both' 'set' 'used' 'taken' 'law' 'given' 'available' 'done'
 'designed' 'changed' 'subject' 'written' 'treated' 'removed' 'adopted'
 'applied' 'addressed' 'defined' 'structured' 'interpreted']",[0.         0.         0.02174876 ... 0.         0.         0.        ],46,5,17,True,done,read
109,,,0,5,18,False,in,in
110,,,0,5,19,False,a,a
111,,,0,5,20,False,broad,broad
112,,,0,5,21,False,and,and
113,"['<UNK>' ',' 'of' 'and' 'a' 'in' '""' 'new' 'public' 'political'
 'different' 'clear' 'legal' 'serious' 'personal' 'easy' 'positive'
 'limited' 'effective' 'direct' 'modern' 'professional' 'simple' 'fair'
 'secure' 'specific' 'healthy' 'competitive' 'unique' 'forward-looking'
 'formal' 'appropriate' 'comfortable' 'comprehensive' 'equal' 'friendly'
 'proper' 'warm' 'moral' 'creative' 'reasonable' 'efficient' 'relevant'
 'peaceful' 'consistent' 'innovative' 'honest' 'sustainable' 'defined'
 'careful' 'accurate' 'practical' 'measured' 'acceptable' 'uniform'
 'flexible' 'accessible' 'plain' 'objective' 'balanced' 'realistic'
 'meaningful' 'relaxed' 'precise' 'neutral' 'transparent' 'sensible'
 'timely' 'intimate' 'subtle' 'informal' 'straightforward' 'deliberate'
 'convenient' 'predictable' 'rational' 'constructive' 'logical' 'gradual'
 'thoughtful' 'tailored' 'compassionate' 'inclusive' 'abstract'
 'pragmatic' 'benign' 'sober' 'orderly' 'respectful' 'personalized'
 'humane' 'streamlined' 'impartial' 'dignified' 'literal' 'consensual'
 'equitable' 'proportionate' 'civilised' 'holistic' 'personalised'
 'harmonious' 'concise' 'businesslike' 'descriptive' 'expeditious'
 'non-threatening' 'business-like' 'easy-to-understand' 'non-judgmental'
 'nondiscriminatory']",[0.         0.         0.00902751 ... 0.         0.         0.        ],111,5,22,True,straightforward,liberal
114,"['<UNK>' ',' '.' 'and' '""' '(' 'but' 'one' 'government' 'world' 'way'
 'public' 'system' 'law' 'media' 'line' 'order' 'form' 'terms' 'ways'
 'society' 'culture' 'language' 'style']",[0.         0.         0.04168134 ... 0.         0.         0.        ],24,5,23,True,one,manner
115,"[',' 'and' '""' '--' 'but' 'or' 'rather']",[0. 0. 0. ... 0. 0. 0.],7,5,24,True,"""",so
116,,,0,5,25,False,as,as
117,"[',' 'and' '""' 'that' 'not' 'or' 'also' 'only']",[0. 0. 0. ... 0. 0. 0.],8,5,26,True,or,to
118,,,0,5,27,False,adapt,adapt
119,"['<UNK>' 'the' ',' 'to' 'and' 'in' '""' 'that' 'for' 'on' 'at' 'not' '--'
 'this' 'more' 'or' 'people' 'over' 'them' 'only' 'through' 'your' 'both'
 'things' 'quickly' 'itself' 'ideas' 'rapidly' 'accordingly']",[0.         0.         0.03446085 ... 0.         0.         0.        ],29,5,28,True,--,it
120,"['the' ',' 'of' 'and' 'in' '""' ""'s"" 'for' 'on' 'is' 'with' 'as' 'at' 'by'
 'from' 'not' '(' '--' 'but' 'more' 'or' ':' 'when' '-' 'all' 'into'
 'only' 'before' 'like' 'now' 'through' 'toward' 'towards']",[0. 0. 0. ... 0. 0. 0.],33,5,29,True,in,to
121,,,0,5,30,False,changing,changing
122,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' '""' 'or']",[0.         0.         0.11114091 ... 0.         0.         0.        ],9,5,31,True,and,times
123,"['to' 'of' 'and' 'in' '""' 'for' 'at' 'by' 'from' '(' 'or' 'after' 'if'
 'before']",[0. 0. 0. ... 0. 0. 0.],14,5,32,True,(,.
124,,,0,6,0,False,In,In
125,,,0,6,1,False,the,the
126,"['<UNK>' 'the' ',' '""' 'year' 'first' 'other' 'years' 'time' 'U.S.' 'most'
 'week' 'world' 'company' 'country' 'state' 'day' 'public' 'group' '10'
 'months' 'month' 'report' 'days' 'game' 'business' 'show' 'States' 'case'
 'past' '2008' 'House' '2009' 'court' 'London' 'Washington' 'area' '2007'
 'City' 'UK' 'West' '2006' 'media' 'study' 'period' 'film' 'course' 'name'
 'general' 'region' 'process' 'online' 'age' 'cases' 'video' 'space'
 'view' 'speech' 'article' 'decades' 'words' 'survey' 'present' 'opinion'
 '1970s' 'Netherlands' 'context']",[0.         0.         0.01494162 ... 0.         0.         0.        ],67,6,2,True,2006,2000s
127,,,0,6,3,False,",",","
128,,,0,6,4,False,music,music
129,,,0,6,5,False,notation,notation
130,,,0,6,6,False,typically,typically
131,"['<UNK>' 'the' ',' 'of' 'and' 'in' '""' ""'s"" 'for' 'on' 'is' 'was' 'with'
 'by' 'from' 'has' 'are' 'had' '--' 'also' 'only' 'just' 'made' 'found'
 'set' 'reported' 'used' 'put' 'does' 'become' 'cut' 'released' 'received'
 'involved' 'saw' 'makes' 'allowed' 'shows' 'included' 'changes'
 'includes' 'dropped' 'created' 'provided' 'offers' 'changed' 'produced'
 'identified' 'provides' 'placed' 'features' 'introduced' 'suggests'
 'allows' 'increases' 'recorded' 'matches' 'replaced' 'banned' 'uses'
 'holds' 'requires' 'contained' 'marks' 'puts' 'finds' 'carries'
 'contains' 'covers' 'involves' 'defined' 'describes' 'avoided' 'promoted'
 'creates' 'affects' 'reads' 'reduces' 'encourages' 'favors' 'improves'
 'replaces' 'prohibits' 'defines' 'triggers' 'avoids']",[0.         0.         0.01162285 ... 0.         0.         0.        ],86,6,7,True,only,means
132,,,0,6,8,False,the,the
133,,,0,6,9,False,written,written
134,,,0,6,10,False,expression,expression
135,,,0,6,11,False,of,of
136,,,0,6,12,False,music,music
137,,,0,6,13,False,notes,notes
138,,,0,6,14,False,and,and
139,,,0,6,15,False,rhythms,rhythms
140,,,0,6,16,False,on,on
141,,,0,6,17,False,paper,paper
142,,,0,6,18,False,using,using
143,,,0,6,19,False,symbols,symbols
144,"['<UNK>' 'to' 'of' 'and' 'in' '""' 'for' 'at' 'by' 'from' '(' 'or' ""'""
 'just' 'before' 'held']",[0.         0.         0.06194966 ... 0.         0.         0.        ],16,6,20,True,from,.
145,"['<UNK>' ',' '""' 'that' '--' ""'"" 'This' 'One' 'Some' 'All' 'Many' 'More'
 'English' 'Think']",[0.         0.         0.07145657 ... 0.         0.         0.        ],14,7,0,True,",",Most
146,"['<UNK>' ',' 'to' 'and' 'in' '""' 'that' 'on' 'said' 'from' 'like' 'now'
 'say' 'even' 'times']",[0.         0.         0.06665597 ... 0.         0.         0.        ],15,7,1,True,now,of
147,,,0,7,2,False,the,the
148,,,0,7,3,False,mathematical,mathematical
149,,,0,7,4,False,notation,notation
150,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' '""' ""'s"" 'that' 'for' 'on' 'is'
 'with' 'as' 'at' 'it' 'by' 'from' 'he' 'not' '(' 'will' 'who' 'I' '--'
 'they' 'but' 'this' 'which' 'or' 'would' 'you' 'when' 'people' '-' 'can'
 'we' 'could' 'so' 'now' 'may' 'should' 'still' 'might' 'technology'
 'actually' 'currently']",[0.         0.         0.02036571 ... 0.         0.         0.        ],49,7,5,True,at,in
151,,,0,7,6,False,use,use
152,,,0,7,7,False,today,today
153,,,0,7,8,False,was,was
154,,,0,7,9,False,not,not
155,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' 'that' 'for' 'on' 'said'
 'it' 'from' 'not' '--' 'been' 'this' 'more' 'or' 'about' 'up' 'one' 'out'
 'all' 'over' 'first' ""'"" 'there' 'so' 'only' 'before' 'made' 'through'
 'even' 'well' 'found' 'going' 'used' 'long' 'right' 'until' 'change'
 'held' 'seen' 'working' 'known' 'thought' 'available' 'done' 'published'
 'anything' 'heard' 'popular' 'believed' 'considered' 'read' 'built'
 'English' 'true' 'changed' 'subject' 'written' 'developed' 'born'
 'discovered' 'sound' 'science' 'established' 'accepted' 'advanced'
 'understood' 'controlled' 'studied']",[0.         0.         0.01337415 ... 0.         0.         0.        ],75,7,10,True,built,invented
156,,,0,7,11,False,until,until
157,"['<UNK>' ',' 'of' 'and' 'a' 'in' 'that' 'The' 'as' 'this' 'early' 'late']",[0.         0.         0.08327613 ... 0.         0.         0.        ],12,7,12,True,this,the
158,,,0,7,13,False,16th,16th
159,,,0,7,14,False,century,century
160,"[',' 'and' '""' '(' '--' ':' '-' ';' '...']",[0. 0. 0. ... 0. 0. 0.],9,7,15,True,--,.
161,"['""' '•']",[0. 0. 0. ... 0. 0. 0.],2,7,16,True,"""",[
162,"['<S>' '<UNK>' ',' '.' 'to' 'and' 'a' '""' ')' '(' 'I' ':' '-' 'A' '?' '/'
 '10' '%' '...' '1' '2008' '!' '2' '2007' 'One' '12' '11' '15' '3' '5' '4'
 '16' '7' '13' '8' '6' '2005' '9' '17' '[' ']' '2000' '_' '+' 'R' '*' 'D'
 '•' '=' 'T' 'C' '@' 'i' 'etc' 'd' '>' '0' 'c' 'b' 'p' '<' 'laughter' '07'
 'laughs' 'e' 'ii' 'PDF' '\\' 'DEL' 'ed' 'pdf' 'Laughs' 'dot.gif' 'q'
 'EMBED' 'allbusiness.com']",[0.         0.01311631 0.01401119 ... 0.         0.         0.        ],76,7,17,True,12,52
163,,,0,7,18,False,],]
164,,,0,7,19,False,Before,Before
